SessionToken,Datestamp,Details
3bd74f86acc06d0943539af0f9290db5,2022-12-29T18:29:11Z,Session started
4c62754072fcb6dd03032902b7bacaca,2022-12-29T18:29:57Z,Session started
c3c32a01356874992c7a3d52dc56b8c3,2022-12-29T18:30:21Z,Session started
c3c32a01356874992c7a3d52dc56b8c3,2022-12-29T18:30:35Z,Unsuccessful upload - not structurally valid
76967e24a73d85652e6785e463b271b1,2022-12-29T18:30:45Z,Session started
f3a596248ec2834e8025fe2d106d0ce9,2022-12-29T18:31:19Z,Session started
af0111f9d0ec126d1bd986e0639128c6,2022-12-29T18:32:36Z,Session started
9da47c7f00e8d3804f31b8279fae35da,2022-12-29T18:33:50Z,Session started
dc0d0dc5bb3e2d8aa23e2be29c08db59,2022-12-29T18:35:13Z,Session started
f94051c174d64197128bfc6767284539,2022-12-29T18:35:19Z,Session started
3a60faf54f2f558c3773a81051d1bed9,2022-12-29T18:35:27Z,Session started
a4317ff00215a04e8e2d4b6e150ab19d,2022-12-29T18:36:49Z,Session started
88736c25bca46aad00cb9c6c123fabaa,2022-12-29T18:37:45Z,Session started
913ead4c7df1b7d271754105d91786ea,2022-12-29T18:38:31Z,Session started
4e48c8f6d37201d4c59c4186749fca8f,2022-12-29T18:39:46Z,Session started
384bd24533576548c10c42cc66248b88,2022-12-29T18:41:18Z,Session started
408de98f58f9c7d8558afcac62734929,2022-12-29T18:58:50Z,Session started
2a291a64a32995a9597fdd3b6ed2617c,2022-12-29T19:01:13Z,Session started
d494dc4a3ca899f10bf3b2081365b16d,2022-12-29T19:01:47Z,Session started
390a660749c9d365cc75103dfe68eaea,2022-12-29T19:09:22Z,Session started
cc3292e4f9444b76a37a2c36f58391aa,2022-12-29T19:13:52Z,Session started
cc3292e4f9444b76a37a2c36f58391aa,2022-12-29T19:14:41Z,Unsuccessful upload - not hashed
cc3292e4f9444b76a37a2c36f58391aa,2022-12-29T19:14:58Z,Unsuccessful upload - not structurally valid
cc3292e4f9444b76a37a2c36f58391aa,2022-12-29T19:15:20Z,Unsuccessful upload - not structurally valid
cc3292e4f9444b76a37a2c36f58391aa,2022-12-29T19:20:08Z,Successful upload
01990b0292ffc2bef1105484113c0c37,2022-12-29T19:26:11Z,Session started
5372dafbe971910f4c7848e5e94b644b,2022-12-29T19:26:17Z,Session started
5e14e501708e93e08525c0cdd6a26702,2022-12-29T19:26:59Z,Session started
fb1af56e8bd9fe94b7b5c77f2c9cce16,2022-12-29T19:27:14Z,Session started
5587a53b9d3d5a4889b3933f88970d5e,2022-12-29T19:29:15Z,Session started
94e15e53e34ee8d08bfc10ef4a664d2f,2022-12-29T19:30:27Z,Session started
eecf92c42a7270bcffff097150dcebb2,2022-12-29T19:30:34Z,Session started
a2e67815d9717df579dc3c2c293c5015,2022-12-29T19:30:41Z,Session started
dcc1907d2616ebe184aa100af2cbf4c4,2022-12-29T19:30:54Z,Session started
eef6f8b313dababf7572a215217c032b,2022-12-29T19:31:53Z,Session started
a8d261d1900c52923064ca64e4afe482,2022-12-29T19:34:11Z,Session started
7fb138337a22a41b2d7fd65f12859c97,2022-12-29T19:35:11Z,Session started
b95fbaf667854abd6618b696c302a995,2022-12-29T19:52:22Z,Session started
e73d6ac8bbb5398e4d1be51754f42223,2022-12-29T19:53:40Z,Session started
09960da766ecc1235daf5551bacba15c,2022-12-29T19:55:41Z,Session started
15840809e00b75a2d884ab70b1b8f09d,2022-12-29T19:55:46Z,Session started
3ffa31ef512ab6adeec83f7928abfad9,2022-12-29T19:55:55Z,Session started
f71475a83cfe5be9a5832ff156926ca8,2022-12-29T19:56:19Z,Session started
44ebf3d0afce02ac0bd842d6197638c4,2022-12-29T20:00:10Z,Session started
43b324a514fae71e495e8359250a4821,2022-12-29T20:02:00Z,Session started
c0fe9c3b10e704d63b28cfc14a75150c,2022-12-29T20:05:08Z,Session started
6446e590549d928fb9c7d2781e915774,2022-12-29T20:05:16Z,Session started
0a0ab6b9b93bd9bdad3c89921c9d0fbb,2022-12-29T20:20:11Z,Session started
becacfb5b44838d64d49c069ec2b300f,2022-12-29T20:22:32Z,Session started
84cc7765a0449a22a7726136a45b40f8,2022-12-29T20:22:45Z,Session started
d397065a7c672fa5a22abf5906c78dee,2022-12-29T20:23:04Z,Session started
dcb1805e1d1fa7642efcefbc5e2f7c8a,2022-12-29T20:24:09Z,Session started
43b324a514fae71e495e8359250a4821,2022-12-29T20:25:09Z,Successful upload
50dce8efce9556684edabf0603c1d319,2022-12-29T20:36:24Z,Session started
d616c81e58cdda14a19fd628e689b7f3,2022-12-29T20:36:32Z,Session started
3089f6decdcd2c5ddaaea6b28261cde9,2022-12-29T20:36:55Z,Session started
390668a0075e77ebc8f71929dc370af1,2022-12-29T20:40:28Z,Session started
aa716472a7fa7aace11c3ed82e3bf4db,2022-12-29T20:59:50Z,Session started
aa716472a7fa7aace11c3ed82e3bf4db,2022-12-29T21:00:06Z,Unsuccessful upload - not structurally valid
aa716472a7fa7aace11c3ed82e3bf4db,2022-12-29T21:00:31Z,Successful upload
390a660749c9d365cc75103dfe68eaea,2022-12-29T21:15:20Z,Unsuccessful upload - not structurally valid
79f4acf4fb9069251157e2d9f96832f5,2022-12-29T21:15:23Z,Session started
390a660749c9d365cc75103dfe68eaea,2022-12-29T21:15:58Z,Unsuccessful upload - not structurally valid
390a660749c9d365cc75103dfe68eaea,2022-12-29T21:16:10Z,Downloaded File Structure Analysis Report
79f4acf4fb9069251157e2d9f96832f5,2022-12-29T21:16:47Z,Unsuccessful upload - not structurally valid
390a660749c9d365cc75103dfe68eaea,2022-12-29T21:16:59Z,Unsuccessful upload - not structurally valid
7d479c8db19054fedd437f5338a56719,2022-12-29T21:17:12Z,Session started
c6c83f18c407fb4b54952d3d2a22179c,2022-12-29T22:05:32Z,Session started
4e2da007f0b51d17b6bf9915067ab75f,2022-12-29T22:05:58Z,Session started
4e2da007f0b51d17b6bf9915067ab75f,2022-12-29T22:06:14Z,Successful upload
80cb618f5e14387e3e139b3af0301bb2,2022-12-30T00:53:59Z,Session started
4da0cc391d19ae77ed9391acbd2d0745,2022-12-30T01:03:37Z,Session started
13ec719711f4a2029c5fc7ef3989af57,2022-12-30T02:03:03Z,Session started
2efe492fa7353d2479a3417dcebc9a40,2022-12-30T13:31:34Z,Session started
586e75845e934672fad6dc0e068033db,2022-12-30T14:05:40Z,Session started
586e75845e934672fad6dc0e068033db,2022-12-30T14:07:24Z,Unsuccessful upload - not structurally valid
586e75845e934672fad6dc0e068033db,2022-12-30T14:14:04Z,Unsuccessful upload - not structurally valid
52062178b309087c4ae462f5c64ab728,2022-12-30T14:18:54Z,Session started
52062178b309087c4ae462f5c64ab728,2022-12-30T14:20:08Z,Unsuccessful upload - not structurally valid
52062178b309087c4ae462f5c64ab728,2022-12-30T14:20:16Z,Downloaded File Structure Analysis Report
1f16f2af28c422b9ab3fb86551fc2722,2022-12-30T15:42:11Z,Session started
