Source,Type,Issue,DataElement,Guidance,Notes,ID
file structure,High Priority,Duplicate EnrollmentIDs,5.06 - Enrollment Identifier,"EnrollmentIDs should be unique in the Enrollment file. There may be no more than one record for any PersonalID with the same EnrollmentID. If there is more than one record for the same PersonalID with the same EnrollmentID, this represents an error in the CSV export.",,8
file structure,High Priority,Duplicate PersonalIDs in Client.csv,5.08 - Personal Identifier,PersonalIDs should be unique in the Client file. Each unique client should only be listed once in the Client file. Please ensure that each unique client gets their own unique PersonalID in this file.,,7
file structure,High Priority,HouseholdID not incrementing correctly,5.09.1 - Household Identifier,The HouseholdID must be unique to the household stay in a project; reuse of the identification of the same or similar household upon readmission into the project is not in alignment with the HMIS Data Standards.,,98
file structure,High Priority,Incorrect Columns,Specific data elements will be identified in the Detail column of a CoC's Structure Analysis Detail export.,"Your HMIS CSV Export should contain - with identical, case-sensitive spelling - only the columns specified in the columns.csv file. Please remove any extra columns and make sure all columns represented in the HMIS CSV Format Specifications are present.","If the data element is considered High Priority, this will be a High Priority issue. Otherwise, this will be considered a General Error.",12
file structure,High Priority,Incorrect Data Type,Specific data elements will be identified in the Detail column of a CoC's Structure Analysis Detail export.,Data types must align with the HMIS CSV Format Specifications. Please review the specifications for the data types associated with the file and column listed in the Detail and make the necessary updates.,"If the data element is considered High Priority, this will be a High Priority issue. Otherwise, this will be considered a General Error.",13
file structure,High Priority,Incorrect Date Format,Date-Based Data Elements,"Dates in the HMIS CSV Export should be in yyyy-mm-dd or yyyy-mm-dd hh:mm:ss format, in alignment with the HMIS CSV Format Specifications. Please check the Specifications for the file and column identified in the Detail and ensure the correct date format is used in the export.",,11
file structure,High Priority,"Missing files, possible wrong dataset",Determined from file metadata,"Your uploaded .zip file does not contain all of the required files to do an an analysis of your HMIS data. You either uploaded something other than an HMIS CSV Export, or your export does not contain all the files outlined in the HMIS CSV Export specifications. To use Eva, please upload a hashed HMIS CSV Export that meets all of HUD's specifications. If you are not sure how to run a hashed HMIS CSV Export in your HMIS, please contact your HMIS vendor.",,125
file structure,High Priority,No enrollment records,5.06.1 - EnrollmentID,"Your export's Enrollment.csv has 0 records. Without any enrollment data, Eva will not return any results on most analyses. If you are not sure how to run your HMIS CSV Export correctly, please contact your vendor.",,101
file structure,High Priority,Nulls not allowed or incorrect data type,Specific data elements will be identified in the Detail column of a CoC's Structure Analysis Detail export.,"Either there is a column with nulls where they are not allowed, or there is a column with an incorrect data type. Please review the HMIS CSV Format Specifications for the data types and null requirements associated with the file and column listed in the detail and make the necessary updates.","If the data element is considered High Priority, this will be a High Priority issue. Otherwise, this will be considered a General Error.",6
file structure,High Priority,PersonalID missing from Client.csv,5.08 - Personal Identifier,"Per the HMIS CSV Format Specifications, all PersonalIDs in the Enrollment file should have a record in the Client file.",,9
file structure,High Priority,ProjectID missing from Project.csv,5.05 - Project Identifier,"Per the HMIS CSV Format Specifications, all ProjectIDs in the Enrollment file should have a record in the Project file.",,10
file structure,High Priority,"Wrong file type, not a .zip file",Determined from file metadata,"You uploaded the wrong file type. The uploaded file is not a .zip file. To use Eva, please upload a hashed HMIS CSV Export, which is a .zip file.  If you are not sure how to run a hashed HMIS CSV Export in your HMIS, please contact your HMIS vendor.",,127
file structure,High Priority,Unhashed HMIS CSV Export,"Export.csv - HashStatus, Client.csv - FirstName","You uploaded an unhashed version of the HMIS CSV Export. Eva will only accept a hashed HMIS CSV Export. To use Eva, please upload a hashed HMIS CSV Export. If you are not sure how to run a hashed HMIS CSV Export in your HMIS, please contact your HMIS vendor.",,126
file structure,High Priority,HMIS CSV Export out of date,Export.csv - CSVVersion column,"Your uploaded HMIS CSV Export seems to be out of date. You either uploaded an FY2022 HMIS CSV Export or your vendor needs to update your Export.csv's CSV Version. To use Eva, please upload a hashed FY2024 HMIS CSV Export. If you are not sure how to obtain an FY2024 HMIS CSV Export in your HMIS, please contact your HMIS vendor.",,124
file structure,High Priority,Misstructured zip directory,Determined from file metadata,"Your uploaded file has a misstructured directory, meaning the individual csv files are contained within a subdirectory. In other words,  if you see a single folder when you open your .zip file, then the directory is mistructured. This can happen if you unzipped your hashed HMIS CSV Export and re-zipped it before uploading. To use Eva, please upload a hashed HMIS CSV Export that has a valid directory, meaning NO folders in your .zip file, only the individual csv files. If you are not sure how to run a hashed HMIS CSV Export in your HMIS, please contact your HMIS vendor.",,122
file structure,High Priority,Export.csv contains more than one row,Determined from file metadata,"Your uploaded .zip file contains Export.csv with more than one row. Export.csv should contain only a single row with information about the Export.",,140
file structure,Error,Impermissible characters,Specific data elements will be identified in the Detail column of a CoC's Structure Analysis Detail export.,"The HMIS CSV Specs restrict the use of some characters in string fields. To locate the character(s) that are flagging this issue, please run and download the Impermissible Character Detail export. Contact your vendor to ensure impermissible characters are excluded from your export.",,134
file structure,Error,ExportID mismatch,ExportID,"Per the HMIS CSV Formatting Specifications, the ExportID in your Export and Client files must match. There should be one unique ExportID that will be used to identify all CSV files generated as part of the same export process.",,49
file structure,Error,Incorrect Columns,Specific data elements will be identified in the Detail column of a CoC's Structure Analysis Detail export.,"Your HMIS CSV Export should contain - with identical, case-sensitive spelling - only the columns specified in the columns.csv file. Please remove any extra columns and make sure all columns represented in the HMIS CSV Format Specifications are present.","If the column is considered High Priority, this will be a High Priority issue. Otherwise, this will be considered an Error.",82
file structure,Error,Incorrect Data Type,Specific data elements will be identified in the Detail column of a CoC's Structure Analysis Detail export.,Data types must align with the HMIS CSV Format Specifications. Please review the specifications for the data types associated with the file and column listed in the Detail and make the necessary updates.,,48
