File,ColumnNo,Column,DataType,DataTypeHighPriority,NullsAllowed
Client,1,PersonalID,character,1,0
Client,2,FirstName,character,0,1
Client,3,MiddleName,character,0,1
Client,4,LastName,character,0,1
Client,5,NameSuffix,character,0,1
Client,6,NameDataQuality,numeric,1,0
Client,7,SSN,character,1,1
Client,8,SSNDataQuality,numeric,0,0
Client,9,DOB,date,1,1
Client,10,DOBDataQuality,numeric,0,0
Client,11,AmIndAKNative,numeric,1,0
Client,12,Asian,numeric,1,0
Client,13,BlackAfAmerican,numeric,1,0
Client,14,NativeHIPacific,numeric,1,0
Client,15,White,numeric,1,0
Client,16,RaceNone,numeric,1,1
Client,17,Ethnicity,numeric,1,0
Client,18,Female,numeric,1,0
Client,19,Male,numeric,1,0
Client,20,NoSingleGender,numeric,1,0
Client,21,Transgender,numeric,1,0
Client,22,Questioning,numeric,1,0
Client,23,GenderNone,numeric,1,1
Client,24,VeteranStatus,numeric,1,0
Client,25,YearEnteredService,numeric,0,1
Client,26,YearSeparated,numeric,0,1
Client,27,WorldWarII,numeric,0,1
Client,28,KoreanWar,numeric,0,1
Client,29,VietnamWar,numeric,0,1
Client,30,DesertStorm,numeric,0,1
Client,31,AfghanistanOEF,numeric,0,1
Client,32,IraqOIF,numeric,0,1
Client,33,IraqOND,numeric,0,1
Client,34,OtherTheater,numeric,0,1
Client,35,MilitaryBranch,numeric,0,1
Client,36,DischargeStatus,numeric,0,1
Client,37,DateCreated,datetime,0,0
Client,38,DateUpdated,datetime,0,0
Client,39,UserID,character,0,0
Client,40,DateDeleted,datetime,0,1
Client,41,ExportID,character,0,0
Enrollment,1,EnrollmentID,character,1,0
Enrollment,2,PersonalID,character,1,0
Enrollment,3,ProjectID,character,1,0
Enrollment,4,EntryDate,date,1,0
Enrollment,5,HouseholdID,character,1,0
Enrollment,6,RelationshipToHoH,numeric,1,0
Enrollment,7,LivingSituation,numeric,1,1
Enrollment,8,LengthOfStay,numeric,1,1
Enrollment,9,LOSUnderThreshold,numeric,1,1
Enrollment,10,PreviousStreetESSH,numeric,1,1
Enrollment,11,DateToStreetESSH,date,1,1
Enrollment,12,TimesHomelessPastThreeYears,numeric,1,1
Enrollment,13,MonthsHomelessPastThreeYears,numeric,1,1
Enrollment,14,DisablingCondition,numeric,1,0
Enrollment,15,DateOfEngagement,date,0,1
Enrollment,16,MoveInDate,date,1,1
Enrollment,17,DateOfPATHStatus,date,0,1
Enrollment,18,ClientEnrolledInPATH,numeric,0,1
Enrollment,19,ReasonNotEnrolled,numeric,0,1
Enrollment,20,WorstHousingSituation,numeric,0,1
Enrollment,21,PercentAMI,numeric,0,1
Enrollment,22,LastPermanentStreet,character,0,1
