Column Name,Variable Type,Definition
PersonalID,Identifier,"A Personal ID is an automatically generated identifier created by an HMIS application. A Personal ID is a static and unique to a single individual within an HMIS implementation, regardless of how many client records exist for the individual. "
AgeCategory,Demographic,"AgeCategory is an Eva-defined variable. A client's Age Category is determined based on the client’s age as of the entry date of their last enrollment included in the report period. Age Categories included are: 0 to 12, 13 to 17, 18 to 21, 22 to 24, 25 to 34, 35 to 44, 45 to 54, 55 to 64, 65 to 74, 75 and older, and unknown."
VeteranStatus,Demographic,Veteran Status of adult clients (not applicable for children) based on the response to HMIS data element 3.07 Veteran Status. Users can filter by: Veteran and Non-Veteran/Unknown.
AmIndAKNative,Race,"AmIndAKNative is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the race/ethnicity category ""American Indian, Alaska Native, or Indigenous"" was selected in HMIS. Examples include, but are not limited to Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Tlingit, etc. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
Asian,Race,"Asian is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the race/ethnicity category ""Asian or Asian American"" was selected in HMIS. Examples include, but are not limited to Chinese, Indian, Japanese, Korean, Pakistani, Vietnamese, or another representative nation/region. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
BlackAfAmerican,Race,"BlackAfAmerican is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the race/ethnicity category ""Black, African American, or African"" was selected in HMIS. Examples include, but are not limited to, African American, Jamaican, Haitian, Nigerian, Ethiopian, and Somali. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
HispanicLatine,Race,"HispanicLatine is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the race/ethnicity category ""Hispanic/Latina/e/o"" was selected in HMIS. Examples include, but are not limited to, Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, and Colombian. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
MidEastNorAf,Race,"MidEastNorAf is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the race/ethnicity category ""Middle Eastern or North African"" was selected in HMIS. Examples include, but are not limited to, Lebanese, Iranian, Egyptian, Syrian, Moroccan, and Israeli. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
NativeHIPacific,Race,"NativeHIPacific is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1,the race/ethnicity category ""Native Hawaiian or Pacific Islander"" was selected in HMIS. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
White,Race,"White is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the race/ethnicity category ""White"" was selected in HMIS. Examples include, but are not limited to German, Irish, Polish, English, French, and Norwegian. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
