Column Name,Variable Type,Definition
PersonalID,Identifier,"A Personal ID is an automatically generated identifier created by an HMIS application. A Personal ID is a static and unique to a single individual within an HMIS implementation, regardless of how many client records exist for the individual."
AgeCategory,Demographic,"AgeCategory is an Eva-defined variable. When a client's ""age at enrollment entry"" is determined, Eva assigns a client to one of the following Age Categories: 0 to 12, 13 to 17, 18 to 21, 22 to 24, 25 to 34, 35 to 44, 45 to 54, 55 to 64, 65 to 74, 75 and older, and unknown. Eva calculates a client's "age at enrollment entry"  based on their date of birth and their enrollment entry date. For clients with multiple enrollments within the report period, Eva uses the oldest "age at enrollment entry."
VeteranStatus,Demographic,Veteran Status of adult clients (not applicable for children) based on the response to HMIS data element 3.07 Veteran Status. Users can filter by: Veteran and Non-Veteran/Unknown.
Woman,Gender,"Woman is a HUD-defined gender category for HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as a woman, or girl in the case of a child under the age of 18. This gender category may have been selected alone or in combination with other gender categories."
Man ,Gender,"Man is a HUD-defined gender category for HMIS data element 3.06 Gender. If this value is equal to 1, the client  identifies as a man, or boy in the case of a child under the age of 18. This gender category may have been selected alone or in combination with other gender categories."
Transgender ,Gender,"Transgender is a HUD-defined gender category for HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies with a transgender history, experience, or identity. This gender category may have been selected alone or in combination with other gender categories."
NonBinary ,Gender,"NonBinary is a HUD-defined gender category for HMIS data element 3.06 Gender. If this value is equal to 1, the client does not identify exclusively as a man or a woman. This gender category may have been selected alone or in combination with other gender categories."
Questioning ,Gender,"Questioning is a HUD-defined gender category for HMIS data element 3.06 Gender. If this value is equal to 1, the client may be unsure, may be exploring, or may not relate to or identify with a gender identity at the time the question was asked. This gender category may have been selected alone or in combination with other gender categories."
CulturallySpecific,Gender,"CulturallySpecific is a HUD-defined gender category for HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies with an identity that is exclusive to a particular culture. For example, Two-Spirit refers to a Native North American gender identity. This gender category may have been selected alone or in combination with other gender categories."
DifferentIdentity ,Gender,"DifferentIdentity is a HUD-defined gender category for HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies with another identity that is not listed as a response. This gender category may have been selected alone or in combination with other gender categories."
GenderUnknown,Gender,"GenderUnknown is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client's gender is unknown. This includes all clients who did not identify as a specific gender response and were recorded as client doesn't know, client prefers not to answer, or data was not collected. This option is not available for users to select on its own."
TransgenderExclusive,Gender,"TransgenderExclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Transgender alone or in combination with any other gender. 
This is a Gender filter selection listed as ""Transgender, alone or in combination"" in Eva. It is only available when the Methodology Type is set to Exclusive Groupings."
GenderExpansiveExclusive,Gender,"GenderExpansiveExclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Culturally Specific Identity (e.g., Two-Spirit), Different Identity, Non-Binary, or Questioning in HMIS. This includes people that identified as one of those genders alone or in combination with any other gender category, except Transgender. Also included here are clients who identified as both Woman (Girl, if child) and Man (Boy, if child).
This is a Gender filter selection listed as ""Gender expansive, not transgender."" It is only available when the Methodology Type is set to Exclusive Groupings."
ManExclusive,Gender,"ManExclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Man (Boy, if child) and no other gender.
This is a Gender filter selection listed as ""Man (Boy, if child) alone."" It is only available when the Methodology Type is set to Exclusive Groupings."
WomanExclusive,Gender,"WomanExclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Woman (Girl, if child) and no other gender.
This is a Gender filter selection listed as ""Woman (Girl, if child) alone."" It is only available when the Methodology Type is set to Exclusive Groupings."
GenderExpansiveInclusive,Gender,"GenderExpansiveInclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Culturally Specific Identity (e.g., Two-Spirit), Different Identity, Non-Binary, or Questioning, or Transgender in HMIS. This includes people that identified as one of those genders alone or in combination with any other gender. Also included here are clients who identified as both Woman (Girl, if child) and Man (Boy, if child).
This is a Gender filter selection listed as ""Gender expansive, including transgender."" It is only available when the Methodology Type is set to Inclusive Groupings."
WomanInclusive,Gender,"WomanInclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Woman (Girl, if child) alone or in combination with any other gender.
This is a Gender filter selection listed as ""Woman (Girl, if child) alone or in combination."" It is only available when the Methodology Type is set to Inclusive Groupings."
ManInclusive,Gender,"ManInclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Man (Boy, if child) alone or in combination with any other gender.
This is a Gender filter selection listed as ""Man (Boy, if child) alone or in combination."" It is only available when the Methodology Type is set to Inclusive Groupings."
WomanOrManOnlyInclusive,Gender,"ManOrWomanOnlyInclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Woman (Girl, if child) or Man (Boy, if child) in HMIS and no other genders.
This is a Gender filter selection listed as ""Only Woman (Girl, if child) OR Only Man (Boy, if child)."" It is only available when the Methodology Type is set to Inclusive Groupings."
NonBinaryInclusive,Gender,"NonBinaryInclusive is an Eva-defined variable based on the response to the HMIS data element 3.06 Gender. If this value is equal to 1, the client identifies as Non-Binary alone or in combination with any other gender.
This is a Gender filter selection listed as ""Non-Binary alone or in combination."" It is only available when the Methodology Type is set to Inclusive Groupings."
AmIndAKNative,Race,"AmIndAKNative is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client identifies with any of the original peoples of North, Central, and South America. Examples include, but are not limited to Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Tlingit, etc. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
Asian,Race,"Asian is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client  identifies with one or more nationalities or ethnic groups originating in East Asia, Southeast Asia, or the Indian subcontinent. Examples include, but are not limited to Chinese, Indian, Japanese, Korean, Pakistani, Vietnamese, or another representative nation/region. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
BlackAfAmerican,Race,"BlackAfAmerican is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client identifies with one or more nationalities or ethnic groups originating in any of the Black racial groups of Africa, including Afro-Caribbean. Examples include, but are not limited to, African American, Jamaican, Haitian, Nigerian, Ethiopian, and Somali. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
HispanicLatine,Race,"HispanicLatine is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client  identifies with one or more nationalities or ethnic groups originating in Mexico, Puerto Rico, Cuba, Central and South American, and other Spanish cultures. Examples include, but are not limited to, Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, and Colombian. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
MidEastNorAf,Race,"MidEastNorAf is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client  identifies with one or more nationalities or ethnic groups with origins in the Middle East and North Africa. Examples include, but are not limited to, Lebanese, Iranian, Egyptian, Syrian, Moroccan, and Israeli. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
NativeHIPacific,Race,"NativeHIPacific is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client  identifies with one or more nationalities or ethnic groups originating in Hawaii, Guam, Samoa, or another Pacific Island. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
White,Race,"White is a HUD-defined racial/ethnic category for HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client identifies with one or more nationalities or ethnic groups originating in Europe. Examples include, but are not limited to German, Irish, Polish, English, French, and Norwegian. This race/ethnicity category may have been selected alone or in combination with other race/ethnicity categories."
RaceEthUnknown,Race,"RaceEthUnkown is an Eva-defined variable based on the response to the HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client's race/ethnicity is unknown. This includes all clients who did not identify as a specific race/ethnicity response and were recorded as client doesn't know, client prefers not to answer, or data was not collected. This option is not available for users to select on its own."
AmIndAKNativeAloneExclusive1,Race,"AmIndAKNativeAloneExclusive1 is an Eva-defined variable under the Detailed section of the Race/Ethnicity dropdown list in Eva. It is based on the response to the HMIS data element 3.04 Race and Ethnicity. If this value is equal to 1, the client identifies as American Indian, Alaska Native, or Indigenous and no other race/ethnicity.
This is a Race/Ethnicity filter selection listed as ""American Indian, Alaska Native, or Indigenous alone."" It is only available when the Methodology Type is set to Exclusive Groupings. This variable aligns with PIT and LSA race/ethnicity categories."
